序号,英文名,国别,编号,时间,机构,主要内容,关键词,主题词,item_en,item_zh,title,url,type,source,topic,matrix_topics,authors,author_affiliations,topics,tags
1,Belfer Center for Science and International Affairs,USA,858910e8e25f,2023-11-27T12:00:00Z,Belfer Center (STPP),,,,,,AI and Trust,https://www.belfercenter.org/publication/ai-and-trust,Article,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
2,Belfer Center for Science and International Affairs,USA,5ebd85f48478,,Belfer Center (STPP),,,,,,The Coming AI Hackers,https://www.belfercenter.org/publication/coming-ai-hackers,Reports & Papers,,All,,,,,
3,Belfer Center for Science and International Affairs,USA,0fb045e16e84,,Belfer Center (STPP),,,,,,Exploring a World of AI Hackers,https://www.belfercenter.org/publication/exploring-world-ai-hackers,Article,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
4,Belfer Center for Science and International Affairs,USA,463000b22f27,2023-05-10T12:00:00Z,Belfer Center (STPP),,,,,,Rethinking Democracy for the Age of AI,https://www.belfercenter.org/publication/rethinking-democracy-age-ai,Presentations,cyberscoop,All,,,,,
5,Belfer Center for Science and International Affairs,USA,45bd259592f3,,Belfer Center (STPP),,,,,,Series Explores AI and Algorithm Regulations and Practices,https://www.belfercenter.org/publication/series-explores-ai-and-algorithm-regulations-and-practices,Blog Post,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
6,Belfer Center for Science and International Affairs,USA,e8123fe85034,2023-02-09T12:00:00Z,Belfer Center (STPP),,,,,,We Don’t Need to Reinvent our Democracy to Save it from AI,https://www.belfercenter.org/publication/we-dont-need-reinvent-our-democracy-save-it-ai,Article,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
7,Belfer Center for Science and International Affairs,USA,0b84d02697ba,2025-06-05T12:00:00Z,Belfer Center (STPP),,,,Artificial Intelligence,人工智能,"Bruce Schneier's Testimony on ""The Federal Government in the Age of Artificial Intelligence""",https://www.belfercenter.org/research-analysis/bruce-schneiers-testimony-federal-government-age-artificial-intelligence,Testimonies,,All,Artificial Intelligence,,,,
8,Belfer Center for Science and International Affairs,USA,7d1f9b7f2717,2024-04-22T12:00:00Z,Belfer Center (STPP),,,,,,It’s the End of the Web as We Know It,https://www.belfercenter.org/publication/its-end-web-we-know-it,Article,The Atlantic,All,,,,,
9,Belfer Center for Science and International Affairs,USA,d3e9bb1bc53a,2024-05-23T12:00:00Z,Belfer Center (STPP),,,,,,Seeing Like a Data Structure,https://www.belfercenter.org/publication/seeing-data-structure,Article,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
10,Belfer Center for Science and International Affairs,USA,68cae040752e,2025-05-12T12:00:00Z,Belfer Center (STPP),,,,,,Preserving U.S.-Russian Cooperation in Science and Marine Stewardship: Opportunities for Civil Society in the Bering Strait,https://www.belfercenter.org/research-analysis/preserving-us-russian-cooperation-science-and-marine-stewardship-opportunities,Reports & Papers,Belfer Center for Science and International Affairs,All,,,,,
11,Belfer Center for Science and International Affairs,USA,7da0f80458c1,2023-04-19T12:00:00Z,Belfer Center (STPP),,,,,,Reactions to the Leak of Classified Military Intelligence Documents,https://www.belfercenter.org/publication/reactions-leak-classified-military-intelligence-documents,Article,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
12,Belfer Center for Science and International Affairs,USA,053e6f4a8d6c,2023-12-11T12:00:00Z,Belfer Center (STPP),,,,,,The Future of Human Rights,https://www.belfercenter.org/publication/future-human-rights,Article,"Carr Center for Human Rights Policy, Harvard Kennedy School",All,,,,,
13,Belfer Center for Science and International Affairs,USA,566ddd40b830,2019-12-05T12:00:00Z,Belfer Center (STPP),,,,,,"Testimony of Laura Manley Before the United States House Committee on Science, Space, and Technology",https://www.belfercenter.org/publication/testimony-laura-manley-united-states-house-committee-science-space-and-technology,Testimonies,,All,,,,,
14,Belfer Center for Science and International Affairs,USA,f39ef1d3a2dc,,Belfer Center (STPP),,,,,,Immobilization of Excess Weapon Plutonium: A Better Alternative to Glass,https://www.belfercenter.org/publication/immobilization-excess-weapon-plutonium-better-alternative-glass,Article,Science & Global Security,All,,,,,
15,Belfer Center for Science and International Affairs,USA,afdc69821b72,,Belfer Center (STPP),,,,,,Revitalizing Nuclear Security in an Era of Uncertainty,https://www.belfercenter.org/publication/revitalizing-nuclear-security-era-uncertainty,Reports & Papers,"Belfer Center for Science and International Affairs, Harvard Kennedy School",All,,,,,
