item_en,item_zh,Bruegel_Biometrics_2021,CSIS_7_2023,China_SEI_2023_Top,EU_10_Key_Tech_2023,RAND_Examples,UK_DSIT_5_2023_2024,US_NSTC_2024,WEF_Top10_2024
5G,5G,,,,,✓,,,
AI for Scientific Discovery,科学发现用AI,,,,,,,,✓
Advanced Computing,先进计算,,,,,,,✓,
"Advanced Connectivity, Navigation and Digital Technologies",先进连接、导航与数字技术,,,,✓,,,,
Advanced Engineering Materials,高级工程材料,,,,,,,✓,
Advanced Gas Turbine Engine Technologies,先进燃气涡轮发动机技术,,,,,,,✓,
Advanced Manufacturing,先进制造,,,,,,,✓,
"Advanced Materials, Manufacturing and Recycling Technologies",先进材料、制造与回收技术,,,,✓,,,,
Advanced Semiconductors Technologies,先进半导体技术,,,,✓,,,,
Advanced Sensing Technologies,先进感知技术,,,,✓,,,,
Advanced and Networked Sensing and Signature Management,高级与网络化传感及特征管理,,,,,,,✓,
Alternative Livestock Feeds,替代性畜牧饲料,,,,,,,,✓
Artificial Intelligence,人工智能,,,,,✓,✓,✓,
Artificial Intelligence Technologies,人工智能技术,,,,✓,,,,
Artificial Intelligence/Machine Learning,人工智能/机器学习,,✓,,,,,,
Autonomous and Uncrewed Systems and Robotics,高度自动化/自治/无人系统与机器人,,,,,,,✓,
Bio-industry,生物产业,,,✓,,,,,
Bioengineering,生物工程,,✓,,,,,,
Biotechnologies,生物技术,,,,✓,,,✓,
Biotechnology,生物技术,,,,,✓,,,
Carbon-capturing Microbes,捕碳微生物,,,,,,,,✓
Clean Energy Generation and Storage,清洁能源的发电与储能,,,,,,,✓,
"Data Privacy, Data Security, and Cybersecurity Technologies",数据隐私、数据安全与网络安全技术,,,,,,,✓,
Digital Creativity Technology/Industry,数字创意技术/产业,,,✓,,,,,
Directed Energy,定向能,,,,,,,✓,
Elastocalorics,弹热制冷,,,,,,,,✓
Energy Conservation and Environmental Protection Industry,节能环保产业,,,✓,,,,,
Energy Technologies,能源技术,,,,✓,,,,
Engineering Biology,工程生物学,,,,,,✓,,
Future Telecommunications,未来电信,,,,,,✓,,
Genomics for Transplants,器官移植基因组学,,,,,,,,✓
High-Altitude Platform Stations,平流层高空平台站,,,,,,,,✓
High-end Equipment Manufacturing Industry,高端装备制造产业,,,✓,,,,,
Human-Machine Interfaces,人机接口,,,,,,,✓,
Hypersonics,高超声速,,,,,,,✓,
Immersive Technology for the Built World,面向建成环境的沉浸式技术,,,,,,,,✓
Integrated Communication and Networking Technologies,集成通信与网络技术,,,,,,,✓,
Integrated Sensing and Communication,一体化感知与通信,,,,,,,,✓
"Miniaturized, Long-lasting Batteries",微型化长寿命电池,,✓,,,,,,
Monitoring (Use of Biometrics),监控（生物识别用途）,✓,,,,,,,
New Energy Industry,新能源产业,,,✓,,,,,
New Energy Vehicles Industry,新能源汽车产业,,,✓,,,,,
New Materials Industry,新材料产业,,,✓,,,,,
Next-generation Information Technology Industry,新一代信息技术产业,,,✓,,,,,
"Positioning, Navigation, and Timing (PNT) Technologies",定位、导航与授时技术,,,,,,,✓,
Privacy-Enhancing Technologies,隐私增强技术,,,,,,,,✓
Quantum Computing,量子计算,,,,,✓,,,
Quantum Information and Enabling Technologies,量子信息与使能技术,,,,,,,✓,
Quantum Technologies,量子技术,,,,✓,,✓,,
Quantum Technology,量子技术,,✓,,,,,,
Reconfigurable Intelligent Surfaces,可重构智能表面,,,,,,,,✓
Recruitment (Use of Biometrics),招聘（生物识别用途）,✓,,,,,,,
Robotics,机器人,,✓,,,,,,
Robotics and Autonomous Systems,机器人与自主系统,,,,✓,,,,
Safety and Well-being (Use of Biometrics),安全与福祉（生物识别用途）,✓,,,,,,,
"Secure, Redundant Communications Networks",安全且冗余的通信网络,,✓,,,,,,
Security (Use of Biometrics),安全（生物识别用途）,✓,,,,,,,
Semiconductors,半导体,,,,,,✓,,
Semiconductors and Microelectronics,半导体与微电子,,,,,,,✓,
Space & Propulsion Technologies,航天与推进技术,,,,✓,,,,
Space Technologies and Systems,空间技术与系统,,,,,,,✓,
Space-based Sensors,太空基传感器,,✓,,,,,,
